EMP_ID,SALARY_MONTH,GROSS_SALARY,NET_SALARY,BONUS
1045,2023-01,56326,52505,4303
1045,2023-03,72643,67878,2330
1046,2023-01,78949,76803,3637
1046,2023-01,60086,56646,1226
1046,2023-03,70206,67977,3720
1047,2023-01,70107,66251,2488
1047,2023-01,82863,79273,3267
1047,2023-03,57330,54294,3725
1048,2023-01,61116,57330,3901
1048,2023-01,69050,65089,3568
1048,2023-03,69324,66868,2133
1049,2023-01,57276,52407,2259
1049,2023-01,81999,78540,3466
1049,2023-03,83611,80584,1136
1050,2023-01,50969,47554,4853
1050,2023-01,60689,56019,2235
1050,2023-03,60548,56752,4260
1051,2023-01,50995,47155,2978
1051,2023-01,70296,65416,1667
1051,2023-03,51963,48981,3149
1052,2023-01,51465,47958,3008
1052,2023-01,85712,81048,1624
1052,2023-03,65699,62607,2647
1053,2023-01,78165,74627,2861
1053,2023-01,79369,74754,2693
1053,2023-03,73765,71448,3627
1054,2023-01,89093,86452,4957
1054,2023-01,75838,73497,1670
1054,2023-03,51328,47808,1724
1055,2023-01,86582,83906,1045
1055,2023-01,55197,51703,2091
1055,2023-03,54151,50661,3441
1056,2023-01,89454,86804,4804
1056,2023-01,88352,85174,2326
1056,2023-03,72228,67674,3949
1057,2023-01,72508,69063,4463
1057,2023-01,65371,62151,3668
1057,2023-03,59871,57695,3960
1058,2023-01,80261,76963,2432
1058,2023-01,66014,61621,1692
1058,2023-03,58272,55517,1135
1059,2023-01,84939,82759,2384
1059,2023-01,64865,61861,3942
1059,2023-03,66684,63078,4144
1060,2023-01,79441,76979,4983
1060,2023-01,86178,82421,3227
1060,2023-03,57738,52823,1273
1061,2023-01,53064,50973,4914
1061,2023-01,66388,61922,4066
1061,2023-03,88812,85165,4493
1062,2023-01,70154,65300,3093
1062,2023-01,59361,54385,4341
1062,2023-03,70146,67582,4405
1063,2023-01,66866,62564,3650
1063,2023-01,59508,57408,2659
1063,2023-03,61157,59065,3566
1064,2023-01,89598,87348,2847
1064,2023-01,75320,72596,1176
1064,2023-03,59522,56634,1118
1065,2023-01,66124,61445,4616
1065,2023-01,51205,47398,3208
1065,2023-03,78200,74841,1156
1066,2023-01,65244,62696,4717
1066,2023-01,82239,79270,2795
1066,2023-03,85223,81331,4359
1067,2023-01,84774,80268,3905
1067,2023-01,81344,77539,3974
1067,2023-03,53592,49893,4450
1068,2023-01,72506,68821,4561
1068,2023-01,53753,50119,1152
1068,2023-03,74663,70730,3307
1069,2023-01,60885,56925,3829
1069,2023-01,78420,74579,1435
1069,2023-03,76089,73067,2984
1070,2023-01,52807,48545,1103
1070,2023-01,57375,52620,3437
1070,2023-03,75383,70784,3787
1071,2023-01,78444,76171,4269
1071,2023-01,71538,68750,4698
1071,2023-03,68378,66368,1538
1072,2023-01,69922,66202,4277
1072,2023-01,84050,79797,1187
1072,2023-03,84847,82132,1842
1073,2023-01,72544,69406,4802
1073,2023-01,56905,53301,4129
1073,2023-03,64790,61009,1215
1074,2023-01,72463,69802,3604
1074,2023-01,80899,78285,3343
1074,2023-03,83375,79844,1743
1075,2023-01,88052,84944,4522
1075,2023-01,55249,50652,3025
1075,2023-03,80602,76899,3238
1076,2023-01,68436,66028,3812
1076,2023-01,79842,77659,2851
1076,2023-03,81778,79111,4818
1077,2023-01,84714,82420,4894
1077,2023-01,76758,74210,2262
1077,2023-03,89112,84624,1290
1078,2023-01,74954,72088,4794
1078,2023-01,84349,81330,4671
1078,2023-03,57589,52810,2701
1079,2023-01,84905,81493,3141
1079,2023-01,62316,59663,1551
1079,2023-03,89246,85068,1890
1080,2023-01,86023,83271,1287
1080,2023-01,78777,75720,3787
1080,2023-03,57308,52691,3597
1081,2023-01,66275,63237,3392
1081,2023-01,75743,73027,3316
1081,2023-03,51738,47984,1820
1082,2023-01,66268,64019,2601
1082,2023-01,87183,84112,3562
1082,2023-03,78253,76093,3734
1083,2023-01,55237,51581,2136
1083,2023-01,52442,48248,3453
1083,2023-03,86908,82085,4711
1084,2023-01,67276,63102,2182
1084,2023-01,52745,48064,4241
1084,2023-03,85180,82351,3014
1085,2023-01,56014,52758,3082
1085,2023-01,66282,63979,4370
1085,2023-03,75129,70592,1510
1086,2023-01,66715,62002,2799
1086,2023-01,64501,62427,1129
1086,2023-03,71441,67990,4681
1087,2023-01,65309,63033,4841
1087,2023-01,82113,78006,2696
1087,2023-03,63160,59796,1178
1088,2023-01,78362,74874,3395
1088,2023-01,69883,65095,3700
1088,2023-03,54950,50329,2431
1089,2023-01,62069,57377,4328
1089,2023-01,72036,67994,4380
1089,2023-03,73378,68689,2960
1090,2023-01,62238,57586,1284
1090,2023-01,59465,56232,3650
1090,2023-03,57454,55326,2558
1091,2023-01,67144,62894,3293
1091,2023-01,66857,64310,1342
1091,2023-03,68182,65468,3070
1092,2023-01,82419,78077,1454
1092,2023-01,71255,66976,4644
1092,2023-03,52868,50418,1573
1093,2023-01,50194,46311,3627
1093,2023-01,53912,48923,4502
1093,2023-03,74330,70703,4398
1094,2023-01,56482,54233,4370
1094,2023-01,77512,73375,2611
1094,2023-03,70800,67469,2844
1095,2023-01,68170,65540,4438
1095,2023-01,55361,50630,1036
1095,2023-03,51164,47712,1545
1096,2023-01,82971,79571,3053
1096,2023-01,82196,79259,2295
1096,2023-03,67205,62989,1289
1097,2023-01,58868,56051,4293
1097,2023-01,88402,84742,2217
1097,2023-03,65231,60759,2898
1098,2023-01,72204,69008,3330
1098,2023-01,89241,85964,1093
1098,2023-03,74355,69442,4245
1099,2023-01,74938,70625,2962
1099,2023-01,61882,59275,4406
1099,2023-03,70795,67444,2698
1100,2023-01,89636,87261,4467
1100,2023-01,76797,73200,4375
1100,2023-03,81201,76367,3845
